,SUBID,SUBID_1,SUBID_2,SUBID_3,SUBID_4,SUBID_5,SUBID_6,SUBID_7,SUBID_8,SUBID_9,SUBID_10,SUBID_11,SUBID_12,SUBID_13,SUBID_14,SUBID_15,SUBID_16,SUBID_17,SUBID_18,SUBID_19,SUBID_20,SUBID_21,SUBID_22,SUBID_23,SUBID_24,SUBID_25,SUBID_26,SUBID_27,SUBID_28,SUBID_29,SUBID_30,SUBID_31,SUBID_32,SUBID_33,SUBID_34,SUBID_35,SUBID_36,SUBID_37,SUBID_38,SUBID_39,SUBID_40,SUBID_41,SUBID_42,SUBID_43,SUBID_44,SUBID_45,SUBID_46,SUBID_47,SUBID_48,SUBID_49,SUBID_50,SUBID_51,SUBID_52,SUBID_53,SUBID_54
65,9521989.0,9521744.0,9521957.0,9522092.0,9556343.0,9556537.0,9500463.0,9556465.0,9556501.0,9556735.0,9556487.0,9556312.0,9556332.0,9556648.0,9556733.0,9556738.0,9556528.0,9556475.0,9556692.0,9501220.0,9556554.0,9556460.0,9556455.0,9556570.0,9556576.0,9500372.0,9563276.0,9563273.0,9563282.0,9562845.0,9563045.0,9563331.0,9501218.0,9562888.0,9500917.0,9500476.0,9562939.0,9562866.0,9500177.0,9535378.0,9500931.0,9535662.0,9500193.0,9535602.0,9535268.0,9535195.0,9535755.0,9539414.0,9539612.0,9538536.0,9539388.0,9539047.0,,,
66,9522105.0,9522096.0,9522092.0,9556343.0,9556537.0,9500463.0,9556465.0,9556501.0,9556735.0,9556487.0,9556312.0,9556332.0,9556648.0,9556733.0,9556738.0,9556528.0,9556475.0,9556692.0,9501220.0,9556554.0,9556460.0,9556455.0,9556570.0,9556576.0,9500372.0,9563276.0,9563273.0,9563282.0,9562845.0,9563045.0,9563331.0,9501218.0,9562888.0,9500917.0,9500476.0,9562939.0,9562866.0,9500177.0,9535378.0,9500931.0,9535662.0,9500193.0,9535602.0,9535268.0,9535195.0,9535755.0,9539414.0,9539612.0,9538536.0,9539388.0,9539047.0,,,,
67,9522125.0,9522214.0,9522096.0,9522092.0,9556343.0,9556537.0,9500463.0,9556465.0,9556501.0,9556735.0,9556487.0,9556312.0,9556332.0,9556648.0,9556733.0,9556738.0,9556528.0,9556475.0,9556692.0,9501220.0,9556554.0,9556460.0,9556455.0,9556570.0,9556576.0,9500372.0,9563276.0,9563273.0,9563282.0,9562845.0,9563045.0,9563331.0,9501218.0,9562888.0,9500917.0,9500476.0,9562939.0,9562866.0,9500177.0,9535378.0,9500931.0,9535662.0,9500193.0,9535602.0,9535268.0,9535195.0,9535755.0,9539414.0,9539612.0,9538536.0,9539388.0,9539047.0,,,
68,9522154.0,9556343.0,9556537.0,9500463.0,9556465.0,9556501.0,9556735.0,9556487.0,9556312.0,9556332.0,9556648.0,9556733.0,9556738.0,9556528.0,9556475.0,9556692.0,9501220.0,9556554.0,9556460.0,9556455.0,9556570.0,9556576.0,9500372.0,9563276.0,9563273.0,9563282.0,9562845.0,9563045.0,9563331.0,9501218.0,9562888.0,9500917.0,9500476.0,9562939.0,9562866.0,9500177.0,9535378.0,9500931.0,9535662.0,9500193.0,9535602.0,9535268.0,9535195.0,9535755.0,9539414.0,9539612.0,9538536.0,9539388.0,9539047.0,,,,,,
69,9522258.0,9522095.0,9556660.0,9500132.0,9556573.0,9500463.0,9556465.0,9556501.0,9556735.0,9556487.0,9556312.0,9556332.0,9556648.0,9556733.0,9556738.0,9556528.0,9556475.0,9556692.0,9501220.0,9556554.0,9556460.0,9556455.0,9556570.0,9556576.0,9500372.0,9563276.0,9563273.0,9563282.0,9562845.0,9563045.0,9563331.0,9501218.0,9562888.0,9500917.0,9500476.0,9562939.0,9562866.0,9500177.0,9535378.0,9500931.0,9535662.0,9500193.0,9535602.0,9535268.0,9535195.0,9535755.0,9539414.0,9539612.0,9538536.0,9539388.0,9539047.0,,,,
70,9535199.0,9535195.0,9535755.0,9539414.0,9539612.0,9538536.0,9539388.0,9539047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,9535200.0,9500119.0,9001250.0,9001249.0,9500640.0,9535195.0,9535755.0,9539414.0,9539612.0,9538536.0,9539388.0,9539047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,9535206.0,9500931.0,9535662.0,9500193.0,9535602.0,9535268.0,9535195.0,9535755.0,9539414.0,9539612.0,9538536.0,9539388.0,9539047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,9535211.0,9500640.0,9535195.0,9535755.0,9539414.0,9539612.0,9538536.0,9539388.0,9539047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,9535222.0,9539612.0,9538536.0,9539388.0,9539047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,9535226.0,9535478.0,9535662.0,9500193.0,9535602.0,9535268.0,9535195.0,9535755.0,9539414.0,9539612.0,9538536.0,9539388.0,9539047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,9535229.0,9535530.0,9535272.0,9500119.0,9001250.0,9001249.0,9500640.0,9535195.0,9535755.0,9539414.0,9539612.0,9538536.0,9539388.0,9539047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,9535237.0,9535602.0,9535268.0,9535195.0,9535755.0,9539414.0,9539612.0,9538536.0,9539388.0,9539047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,9535266.0,9535178.0,9535530.0,9535272.0,9500119.0,9001250.0,9001249.0,9500640.0,9535195.0,9535755.0,9539414.0,9539612.0,9538536.0,9539388.0,9539047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,9535267.0,9535486.0,9500177.0,9535378.0,9500931.0,9535662.0,9500193.0,9535602.0,9535268.0,9535195.0,9535755.0,9539414.0,9539612.0,9538536.0,9539388.0,9539047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,9535271.0,9535629.0,9535478.0,9535662.0,9500193.0,9535602.0,9535268.0,9535195.0,9535755.0,9539414.0,9539612.0,9538536.0,9539388.0,9539047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,9535273.0,9500640.0,9535195.0,9535755.0,9539414.0,9539612.0,9538536.0,9539388.0,9539047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,9535278.0,9001249.0,9500640.0,9535195.0,9535755.0,9539414.0,9539612.0,9538536.0,9539388.0,9539047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,9535280.0,9500119.0,9001250.0,9001249.0,9500640.0,9535195.0,9535755.0,9539414.0,9539612.0,9538536.0,9539388.0,9539047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,9535295.0,9535486.0,9500177.0,9535378.0,9500931.0,9535662.0,9500193.0,9535602.0,9535268.0,9535195.0,9535755.0,9539414.0,9539612.0,9538536.0,9539388.0,9539047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,9535354.0,9500177.0,9535378.0,9500931.0,9535662.0,9500193.0,9535602.0,9535268.0,9535195.0,9535755.0,9539414.0,9539612.0,9538536.0,9539388.0,9539047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,9535370.0,9500931.0,9535662.0,9500193.0,9535602.0,9535268.0,9535195.0,9535755.0,9539414.0,9539612.0,9538536.0,9539388.0,9539047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,9535382.0,9500640.0,9535195.0,9535755.0,9539414.0,9539612.0,9538536.0,9539388.0,9539047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,9535398.0,9500931.0,9535662.0,9500193.0,9535602.0,9535268.0,9535195.0,9535755.0,9539414.0,9539612.0,9538536.0,9539388.0,9539047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,9535483.0,9535629.0,9535478.0,9535662.0,9500193.0,9535602.0,9535268.0,9535195.0,9535755.0,9539414.0,9539612.0,9538536.0,9539388.0,9539047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,9535491.0,9535629.0,9535478.0,9535662.0,9500193.0,9535602.0,9535268.0,9535195.0,9535755.0,9539414.0,9539612.0,9538536.0,9539388.0,9539047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
